athlete,country
 Floyd Mayweather, U.S.
 Lionel Messi, Argentina
 Cristiano Ronaldo, Portugal
 Conor McGregor, Ireland
 Neymar, Brazil
 LeBron James, U.S.
 Roger Federer, Switzerland
 Stephen Curry, U.S.
 Matt Ryan, U.S.
 Matthew Stafford, U.S.
 Kevin Durant, U.S.
 Lewis Hamilton, U.K.
 Russell Westbrook, U.S.
 James Harden, U.S.
 Canelo Alvarez, Mexico
 Tiger Woods, U.S.
 Drew Brees, U.S.
 Sebastian Vettel, Germany
 Derek Carr, U.S.
 Rafael Nadal, Spain
 Alex Smith, U.S.
 Phil Mickelson, U.S.
 Jordan Spieth, U.S.
 Damian Lillard, U.S.
 Anthony Joshua, U.K.
 Rory McIlroy, U.K.
 Trumaine Johnson, U.S.
 Jimmy Garoppolo, U.S.
 Kyrie Irving, U.S.
 Blake Griffin, U.S.
 Giannis Antetokounmpo, Greece
 Ryan Tannehill, U.S.
 Von Miller, U.S.
 Anthony Davis, U.S.
 Kei Nishikori, Japan
 Gareth Bale, U.K.
 Clayton Kershaw, U.S.
 Carmelo Anthony, U.S.
 Fernando Alonso, Spain
 DeMar DeRozan, U.S.
 Chris Paul, U.S.
 Dwyane Wade, U.S.
 Paul Millsap, U.S.
 Klay Thompson, U.S.
 Usain Bolt, Jamaica
 Gordon Hayward, U.S.
 David Price, U.S.
 Kyle Lowry, U.S.
 Albert Pujols, Dominican Republic
 Mike Conley, U.S.
 Al Horford, Dominican Republic
 Paul Pogba, France
 Justin Verlander, U.S.
 Miguel Cabrera, Venezuela
 Kirk Cousins, U.S.
 Oscar, Brazil
 Paul George, U.S.
 Dwight Howard, U.S.
 Wayne Rooney, U.K.
 Jrue Holiday, U.S.
 Luis Suarez, Uruguay
 Kevin Love, U.S.
 Felix Hernandez, Venezuela
 Mike Trout, U.S.
 Chris Bosh, U.S.
 Justin Thomas, U.S.
C.J. McCollum, U.S.
 Eli Manning, U.S.
 Otto Porter Jr, U.S.
 DeAndre Hopkins, U.S.
 Yoenis Cespedes, Cuba
 Buster Posey, U.S.
 Gennady Golovkin, Kazakhstan
 Bradley Beal, U.S.
 Andre Drummond, U.S.
 Harrison Barnes, U.S.
 Hassan Whiteside, U.S.
 Davante Adams, U.S.
 Stephon Tuitt, U.S.
 Sam Bradford, U.S.
 Zack Greinke, U.S.
 Chandler Parsons, U.S.
 Virat Kohli, India
 DeAndre Jordan, U.S.
 Marc Gasol, Spain
 Novak Djokovic, Serbia
J.J. Redick, U.S.
 Joe Mauer, U.S.
 Sergio Aguero , Argentina
 Steven Adams, New Zealand
 Joey Votto, Canada
 Nate Solder, U.S.
 Jarvis Landry, U.S.
 John Wall, U.S.
 Brook Lopez, U.S.
 Masahiro Tanaka, Japan
 LaMarcus Aldridge, U.S.
 Robinson Cano, Dominican Republic
 Melvin Ingram, U.S.
 Nicolas Batum, France
